order_code,client_id,client_name,ThoiGianTao,ThoiGianLayThanhCong,ThoiGianXuatKienDauTien,ThoiGianGiaoThanhCong,TrangThaiHienTai,KhoLay_ID,KhoLay,KhoGiao_ID,KhoGiao,VungGiao,TinhGiao,weight,converted_weight,KL_TinhCuoc,length,width,height,SoKhoi_M3,ThoiGianNhanKienDauTien,weight_kg,converted_weight_kg,KL_TinhCuoc_kg
GYXQM3VD,5035963,MDLZ Miền Bắc,2026-06-23 18:14:35.651000+00:00,2026-06-26 22:00:06.104000+00:00,2026-06-26 22:21:12.955000+00:00,2026-06-28 13:49:11.994000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22645000,(PTH) Thanh Sơn,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-26 22:41:01.503000+00:00,24.5,0.2,24.5
GYXQM3VN,5035963,MDLZ Miền Bắc,2026-06-23 18:14:35.649000+00:00,2026-06-26 22:00:07.632000+00:00,2026-06-26 22:21:10.655000+00:00,2026-06-27 10:08:39.987000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21154000,Kho Giao Hàng Nặng - Mỹ Lộc - Nam Định,Khu vực 3,Nam Định,,,,10,10,10,0.0,2026-06-26 22:43:48.566000+00:00,2.6,0.2,2.6
GYXQM3VV,5035963,MDLZ Miền Bắc,2026-06-23 18:14:35.645000+00:00,2026-06-25 21:28:18.139000+00:00,2026-06-25 21:38:04.904000+00:00,2026-06-27 14:05:02.146000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-25 21:49:51.029000+00:00,15.5,0.2,15.5
GYXQM3V6,5035963,MDLZ Miền Bắc,2026-06-23 18:14:35.645000+00:00,2026-06-26 22:00:07.019000+00:00,2026-06-26 22:21:10.143000+00:00,2026-06-27 08:50:45.728000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,2026-06-26 22:40:16.801000+00:00,8.2,0.2,8.2
GYXQM3VL,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.353000+00:00,2026-06-26 22:00:15.864000+00:00,2026-06-26 22:21:11.254000+00:00,2026-06-27 11:38:34.133000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,2026-06-26 22:57:28.519000+00:00,2.9,0.2,2.9
GYXQM3VQ,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.296000+00:00,2026-06-25 21:28:23.230000+00:00,2026-06-25 21:38:05.745000+00:00,2026-06-27 17:22:01.663000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:45:19.256000+00:00,6.2,0.2,6.2
GYXQM39E,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.285000+00:00,2026-06-26 22:00:13.146000+00:00,2026-06-26 22:21:10.696000+00:00,2026-06-29 08:05:07.983000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21151000,Kho Giao Hàng Nặng - Nho Quan - Ninh Bình,Khu vực 3,Ninh Bình,,,,10,10,10,0.0,2026-06-26 23:00:35.882000+00:00,1.1,0.2,1.1
GYXQM39M,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.284000+00:00,2026-06-25 21:28:21.135000+00:00,2026-06-25 21:38:04.895000+00:00,2026-06-26 12:16:45.683000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22560000,(HNA) Duy Tiên,Khu vực 3,Hà Nam,,,,10,10,10,0.0,2026-06-25 21:47:02.267000+00:00,31.2,0.2,31.2
GYXQM39R,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.281000+00:00,2026-06-26 22:00:03.646000+00:00,2026-06-26 22:21:12.475000+00:00,2026-06-28 11:53:26.201000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20514000,(BNI) Thuận Thành,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-26 22:36:27.031000+00:00,4.8,0.2,4.8
GYXQM39Y,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.276000+00:00,2026-06-26 22:00:17.342000+00:00,2026-06-26 22:21:09.739000+00:00,2026-06-28 12:04:40.458000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21157000,Kho Giao Hàng Nặng - TP Lạng Sơn - Lạng Sơn,Khu vực 3,Lạng Sơn,,,,10,10,10,0.0,2026-06-26 22:46:31.672000+00:00,3.4,0.2,3.4
GYXQM398,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.274000+00:00,2026-06-26 22:00:03.941000+00:00,2026-06-26 22:21:11.409000+00:00,2026-06-28 10:08:50.439000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22964000,(VPH) Lập Thạch,Khu vực 3,Vĩnh Phúc,,,,10,10,10,0.0,2026-06-26 22:35:47.518000+00:00,6.7,0.2,6.7
GYXQM39A,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.271000+00:00,2026-06-26 22:00:03.649000+00:00,2026-06-26 22:21:09.765000+00:00,2026-06-28 20:23:22.351000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22919000,(TQU) Yên Sơn,Khu vực 3,Tuyên Quang,,,,10,10,10,0.0,2026-06-26 22:36:15.549000+00:00,6.7,0.2,6.7
GYXQM39X,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.270000+00:00,2026-06-25 21:28:23.228000+00:00,2026-06-25 21:38:05.622000+00:00,2026-06-27 16:01:33.302000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:45:18.038000+00:00,26.4,0.2,26.4
GYXQM39H,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.260000+00:00,2026-06-26 22:00:03.661000+00:00,2026-06-26 22:21:09.768000+00:00,2026-06-28 09:20:29.741000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21159000,Kho Giao Hàng Nặng - TP Tuyên Quang - Tuyên Quang,Khu vực 3,Tuyên Quang,,,,10,10,10,0.0,2026-06-26 22:36:43.350000+00:00,4.8,0.2,4.8
GYXQM39T,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.256000+00:00,2026-06-26 22:00:07.633000+00:00,2026-06-26 22:21:10.438000+00:00,2026-06-27 09:58:23.081000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20400000,(NBI) Hoa Lư 1,Khu vực 3,Ninh Bình,,,,10,10,10,0.0,2026-06-26 22:43:41.121000+00:00,2.6,0.2,2.6
GYXQM39W,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.241000+00:00,2026-06-25 21:28:21.134000+00:00,2026-06-25 21:38:05.562000+00:00,2026-06-27 10:55:45.845000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:47:00.091000+00:00,5.9,0.2,5.9
GYXQM39B,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.227000+00:00,2026-06-25 21:28:22.173000+00:00,2026-06-25 21:38:05.784000+00:00,2026-06-27 09:05:35.599000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22765000,(PTH) Hạ Hòa,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-25 21:46:10.314000+00:00,33.4,0.2,33.4
GYXQM393,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.227000+00:00,2026-06-25 21:28:21.618000+00:00,2026-06-25 21:38:04.589000+00:00,2026-06-29 20:22:33.206000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20714002,Điểm xử lý hàng Nậm Pồ-Điện Biên,Khu vực 3,Điện Biên,,,,10,10,10,0.0,2026-06-25 21:46:57.677000+00:00,27.8,0.2,27.8
GYXQM394,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.227000+00:00,2026-06-26 22:00:18.605000+00:00,2026-06-26 22:21:11.336000+00:00,2026-06-27 09:16:13.097000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,2026-06-26 22:44:37.652000+00:00,21.1,0.2,21.1
GYXQM39P,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.226000+00:00,2026-06-25 21:28:20.257000+00:00,2026-06-25 21:38:05.743000+00:00,2026-06-26 16:08:33.017000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22501000,(PTH) Tu Vũ,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-25 21:47:49.319000+00:00,25.0,0.2,25.0
GYXQM39K,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.226000+00:00,2026-06-26 22:00:21.347000+00:00,2026-06-26 22:21:09.774000+00:00,2026-06-28 10:29:45.758000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22734000,(BGI) Hiệp Hòa,Khu vực 3,Bắc Giang,,,,10,10,10,0.0,2026-06-26 22:56:30.542000+00:00,3.4,0.2,3.4
GYXQM39D,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.224000+00:00,2026-06-26 22:00:20.453000+00:00,2026-06-26 22:21:11.050000+00:00,2026-06-27 16:00:20.867000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20626000,(VPH) Tam Dương,Khu vực 3,Vĩnh Phúc,,,,10,10,10,0.0,2026-06-26 22:56:39.492000+00:00,3.4,0.2,3.4
GYXQM39N,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.222000+00:00,2026-06-25 21:28:18.834000+00:00,2026-06-25 21:38:04.594000+00:00,2026-06-26 16:57:45.997000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,20,0.0,2026-06-25 21:49:24.598000+00:00,23.5,0.4,23.5
GYXQM396,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.220000+00:00,2026-06-26 22:00:06.667000+00:00,2026-06-26 22:21:13.129000+00:00,2026-06-27 17:34:43.396000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-26 22:40:14.072000+00:00,8.6,0.2,8.6
GYXQM39V,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.216000+00:00,2026-06-26 22:00:22.250000+00:00,2026-06-26 22:21:12.914000+00:00,2026-06-28 10:49:49.263000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22937000,(PTH) Phù Ninh,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-26 22:50:21.184000+00:00,3.4,0.2,3.4
GYXQM39C,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.206000+00:00,2026-06-25 21:28:21.130000+00:00,2026-06-25 21:38:04.942000+00:00,2026-06-26 17:31:51.639000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-25 21:47:03.484000+00:00,27.7,0.2,27.7
GYXQM39U,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.206000+00:00,2026-06-25 21:28:23.229000+00:00,2026-06-25 21:38:05.321000+00:00,2026-06-27 16:03:46.226000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22851000,(PTH) Đoan Hùng,Khu vực 3,Phú Thọ,,,,10,10,20,0.0,2026-06-25 21:45:09.402000+00:00,35.4,0.4,35.4
GYXQM399,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.206000+00:00,2026-06-25 21:28:20.251000+00:00,2026-06-25 21:38:04.892000+00:00,2026-06-26 12:23:20.067000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22423000,Kho Giao Hàng Nặng - Ân Thi - Hưng Yên,Khu vực 3,Hưng Yên,,,,10,10,10,0.0,2026-06-25 21:47:50.828000+00:00,27.4,0.2,27.4
GYXQM39G,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.201000+00:00,2026-06-25 21:28:24.263000+00:00,2026-06-25 21:38:05.467000+00:00,2026-06-26 13:03:48.882000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-25 21:44:15.229000+00:00,26.9,0.2,26.9
GYXQM397,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.200000+00:00,2026-06-26 22:00:03.940000+00:00,2026-06-26 22:21:09.742000+00:00,2026-06-28 13:55:32.859000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21161000,Kho Giao Hàng Nặng - TP Yên Bái - Yên Bái,Khu vực 3,Yên Bái,,,,10,10,10,0.0,2026-06-26 22:36:00.756000+00:00,6.7,0.2,6.7
GYXQM39F,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.198000+00:00,2026-06-25 21:28:21.914000+00:00,2026-06-25 21:38:04.897000+00:00,2026-06-26 12:32:55.925000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-25 21:46:32.239000+00:00,8.2,0.2,8.2
GYXQM39L,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.196000+00:00,2026-06-25 21:28:18.830000+00:00,2026-06-25 21:38:05.943000+00:00,2026-06-27 13:37:11.623000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:49:20.961000+00:00,15.8,0.2,15.8
GYXQM39Q,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.192000+00:00,2026-06-26 22:00:09.465000+00:00,2026-06-26 22:21:10.376000+00:00,2026-06-28 21:12:19.800000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-27 09:40:37.907000+00:00,3.4,0.2,3.4
GYXQM3CE,5035963,MDLZ Miền Bắc,2026-06-23 18:14:34.185000+00:00,2026-06-26 22:00:09.473000+00:00,2026-06-26 22:21:11.235000+00:00,2026-06-28 14:10:11.909000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-26 22:54:52.256000+00:00,3.8,0.2,3.8
GYXQM3C8,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.819000+00:00,2026-06-26 22:00:21.363000+00:00,2026-06-26 22:21:11.477000+00:00,2026-06-27 12:16:15.400000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21155000,Kho Giao Hàng Nặng - Đông Hưng - Thái Bình,Khu vực 3,Thái Bình,,,,10,10,10,0.0,2026-06-26 22:56:49.191000+00:00,3.4,0.2,3.4
GYXQM3CA,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.773000+00:00,2026-06-26 22:00:20.435000+00:00,2026-06-26 22:21:12.417000+00:00,2026-06-28 12:15:34.365000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20969000,(BNI) Trung Chính,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-26 22:56:37.987000+00:00,3.4,0.2,3.4
GYXQM3CX,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.765000+00:00,2026-06-26 22:00:14.313000+00:00,2026-06-26 22:21:10.878000+00:00,2026-06-28 10:38:17.774000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21155000,Kho Giao Hàng Nặng - Đông Hưng - Thái Bình,Khu vực 3,Thái Bình,,,,10,10,10,0.0,2026-06-26 22:59:58.091000+00:00,1.1,0.2,1.1
GYXQM3CH,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.735000+00:00,2026-06-26 22:00:08.883000+00:00,2026-06-26 22:21:10.089000+00:00,2026-06-28 17:32:20.313000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21321001,Kho Giao Hàng Nặng - TP Sơn La - Sơn La,Khu vực 3,Sơn La,,,,10,10,10,0.0,2026-06-26 22:41:23.356000+00:00,24.8,0.2,24.8
GYXQM3CT,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.733000+00:00,2026-06-26 22:00:16.989000+00:00,2026-06-26 22:21:09.881000+00:00,2026-06-28 10:02:38.284000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21586000,(HAG) Hà Giang 1,Khu vực 3,Hà Giang,,,,10,10,10,0.0,2026-06-26 22:46:19.876000+00:00,3.4,0.2,3.4
GYXQM3CK,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.730000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,20969000,(BNI) Trung Chính,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,,7.8,0.2,7.8
GYXQM3CW,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.730000+00:00,2026-06-26 22:00:18.330000+00:00,2026-06-26 22:21:09.772000+00:00,2026-06-29 12:36:50.380000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21153000,Kho Giao Hàng Nặng - TP Hạ Long - Quảng Ninh,Khu vực 3,Quảng Ninh,,,,10,10,10,0.0,2026-06-26 22:48:32.002000+00:00,3.4,0.2,3.4
GYXQM3C4,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.724000+00:00,2026-06-26 22:00:12.501000+00:00,2026-06-26 22:21:10.763000+00:00,2026-06-28 15:34:47.972000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21151000,Kho Giao Hàng Nặng - Nho Quan - Ninh Bình,Khu vực 3,Ninh Bình,,,,10,10,10,0.0,2026-06-26 23:01:30.865000+00:00,3.7,0.2,3.7
GYXQM3C3,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.723000+00:00,2026-06-26 22:00:17.966000+00:00,2026-06-26 22:21:11.454000+00:00,2026-06-29 11:05:50.847000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-26 22:48:46.866000+00:00,3.4,0.2,3.4
GYXQM3CB,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.721000+00:00,2026-06-26 22:00:06.694000+00:00,2026-06-26 22:21:11.609000+00:00,2026-06-28 16:20:25.829000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21085000,Kho Giao Hàng Nặng - TP Thái Nguyên - Thái Nguyên,Khu vực 3,Thái Nguyên,,,,10,10,10,0.0,2026-06-26 22:40:10.076000+00:00,7.0,0.2,7.0
GYXQM3CD,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.720000+00:00,2026-06-26 22:00:18.346000+00:00,2026-06-26 22:21:11.296000+00:00,2026-06-27 12:16:51.285000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21155000,Kho Giao Hàng Nặng - Đông Hưng - Thái Bình,Khu vực 3,Thái Bình,,,,10,10,10,0.0,2026-06-26 22:48:42.035000+00:00,3.4,0.2,3.4
GYXQM3CP,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.719000+00:00,2026-06-26 22:00:04.876000+00:00,2026-06-26 22:21:11.778000+00:00,2026-06-27 16:25:02.066000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21155000,Kho Giao Hàng Nặng - Đông Hưng - Thái Bình,Khu vực 3,Thái Bình,,,,10,10,10,0.0,2026-06-26 22:38:44.579000+00:00,7.0,0.2,7.0
GYXQM3CN,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.718000+00:00,2026-06-25 21:28:21.881000+00:00,2026-06-25 21:38:06.067000+00:00,2026-06-27 16:58:30.029000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:46:29.383000+00:00,25.1,0.2,25.1
GYXQM3C6,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.711000+00:00,2026-06-26 22:00:10.937000+00:00,2026-06-26 22:21:10.895000+00:00,2026-06-27 14:57:56.320000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21155000,Kho Giao Hàng Nặng - Đông Hưng - Thái Bình,Khu vực 3,Thái Bình,,,,10,10,10,0.0,2026-06-26 22:45:21.962000+00:00,3.2,0.2,3.2
GYXQM3CV,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.699000+00:00,2026-06-25 21:28:21.620000+00:00,2026-06-25 21:38:05.543000+00:00,2026-06-27 12:46:30.490000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21084000,Kho Giao Hàng Nặng - An Dương - Hải Phòng,Khu vực 3,Hải Phòng,,,,10,10,10,0.0,2026-06-25 21:46:42.842000+00:00,26.7,0.2,26.7
GYXQM3CU,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.659000+00:00,2026-06-26 22:00:05.877000+00:00,2026-06-26 22:21:09.781000+00:00,2026-06-28 18:31:57.099000+00:00,delivered,1297,Key Account Warehouse Ha Noi,20626000,(VPH) Tam Dương,Khu vực 3,Vĩnh Phúc,,,,10,10,10,0.0,2026-06-26 22:37:22.617000+00:00,24.5,0.2,24.5
GYXQM3CC,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.659000+00:00,2026-06-26 22:00:16.996000+00:00,2026-06-26 22:21:11.136000+00:00,2026-06-29 12:02:58.054000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-26 22:46:59.323000+00:00,1.9,0.2,1.9
GYXQM3CG,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.658000+00:00,2026-06-25 21:28:23.229000+00:00,2026-06-25 21:38:04.554000+00:00,2026-06-27 12:33:58.502000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21974000,(YBA) Cầu Thia,Khu vực 3,Yên Bái,,,,10,10,10,0.0,2026-06-25 21:45:23.715000+00:00,11.8,0.2,11.8
GYXQM3C7,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.657000+00:00,2026-06-26 22:00:21.348000+00:00,2026-06-26 22:21:09.772000+00:00,2026-06-28 14:12:39.731000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21158000,Kho Giao Hàng Nặng - TP Lào Cai - Lào Cai,Khu vực 3,Lào Cai,,,,10,10,10,0.0,2026-06-26 22:56:44.350000+00:00,3.4,0.2,3.4
GYXQM3CF,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.656000+00:00,2026-06-26 22:00:05.866000+00:00,2026-06-26 22:21:09.745000+00:00,2026-06-27 13:56:45.535000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21153000,Kho Giao Hàng Nặng - TP Hạ Long - Quảng Ninh,Khu vực 3,Quảng Ninh,,,,10,10,10,0.0,2026-06-26 22:37:34.728000+00:00,25.4,0.2,25.4
GYXQM3CL,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.653000+00:00,2026-06-25 21:28:18.139000+00:00,2026-06-25 21:38:05.183000+00:00,2026-06-27 16:48:13.665000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21160000,Kho Giao Hàng Nặng - Việt Trì - Phú Thọ,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-25 21:49:44.394000+00:00,10.2,0.2,10.2
GYXQM3UE,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.652000+00:00,2026-06-26 22:00:02.495000+00:00,2026-06-26 22:21:12.135000+00:00,2026-06-28 11:06:12.711000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,10,10,10,0.0,2026-06-26 22:33:08.747000+00:00,23.0,0.2,23.0
GYXQM3CQ,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.652000+00:00,2026-06-26 22:00:04.566000+00:00,2026-06-26 22:21:12.974000+00:00,2026-06-28 11:05:42.220000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21160000,Kho Giao Hàng Nặng - Việt Trì - Phú Thọ,Khu vực 3,Phú Thọ,,,,10,10,10,0.0,2026-06-26 22:34:00.685000+00:00,5.3,0.2,5.3
GYXQM3UM,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.650000+00:00,2026-06-26 22:00:03.928000+00:00,2026-06-26 22:21:09.750000+00:00,2026-06-28 09:53:29.581000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21974000,(YBA) Cầu Thia,Khu vực 3,Yên Bái,,,,10,10,10,0.0,2026-06-26 22:36:00.627000+00:00,6.7,0.2,6.7
GYXQM3UY,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.650000+00:00,2026-06-26 22:00:19.806000+00:00,2026-06-26 22:21:10.929000+00:00,2026-06-28 17:00:19.935000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21310000,Kho Giao Hàng Nặng - Bình Xuyên - Vĩnh Phúc,Khu vực 3,Vĩnh Phúc,,,,10,10,10,0.0,2026-06-26 22:57:17.323000+00:00,1.4,0.2,1.4
GYXQM3UR,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.649000+00:00,2026-06-26 22:00:21.006000+00:00,2026-06-26 22:21:12.436000+00:00,2026-06-30 13:32:59.340000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-26 22:56:37.011000+00:00,3.4,0.2,3.4
GYXQM3U8,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.649000+00:00,2026-06-26 22:00:15.537000+00:00,2026-06-26 22:21:09.762000+00:00,2026-06-28 10:36:43.257000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21153000,Kho Giao Hàng Nặng - TP Hạ Long - Quảng Ninh,Khu vực 3,Quảng Ninh,,,,10,10,10,0.0,2026-06-26 22:58:02.203000+00:00,5.0,0.2,5.0
GYXQM3UA,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.646000+00:00,2026-06-26 22:00:16.988000+00:00,2026-06-26 22:21:09.744000+00:00,2026-06-28 09:57:29.635000+00:00,delivered,1297,Key Account Warehouse Ha Noi,21383000,(YBA) Lục Yên,Khu vực 3,Yên Bái,,,,10,10,10,0.0,2026-06-26 22:47:39.079000+00:00,1.9,0.2,1.9
GYXQM3UX,5035963,MDLZ Miền Bắc,2026-06-23 18:14:33.644000+00:00,2026-06-25 21:28:18.557000+00:00,2026-06-25 21:38:05.223000+00:00,2026-06-26 15:43:44.838000+00:00,delivered,1297,Key Account Warehouse Ha Noi,22296000,Kho Giao Hàng Nặng - Tiên Du - Bắc Ninh,Khu vực 3,Bắc Ninh,,,,10,10,10,0.0,2026-06-25 21:49:34.058000+00:00,7.2,0.2,7.2
